badge,radio
5290,746885
5790,747118
6237,746480
6257,746435
6417,747478
6621,746495
6758,746360
6823,746453
6942,746965
6983,746406
7418,746663
7467,746867
7540,747314
7556,747317
7591,746760
7592,746822
7594,747533
7670,747925
7674,746991
7735,747237
7736,747255
7754,747461
7758,745139
7783,746834
8308,747399
8310,745206
8331,746412
8343,746912
8348,746765
8388,747270
8430,745187
8436,746777
8461,747548
8465,746459
8517,746439
8529,765070
8647,746119
8680,746793
8685,746047
8696,746461
8730,746685
8735,746979
